capture,pc_time,sdk_frame,found,center_u,center_v,bbox_x,bbox_y,bbox_w,bbox_h,area,circularity,otsu,white_ratio,raw_file,result_file,binary_file
1,2026-09-13 11:08:30.558,0,1,1050.4808,974.3283,1002,926,98,93,6697.50,0.856545,209.00,0.332904,raw\capture_01_sdk000000.png,result\capture_01_sdk000000.png,binary\capture_01_sdk000000.png
2,2026-09-13 11:10:08.799,1,1,1050.7227,899.4183,1006,855,91,86,5709.00,0.858498,126.00,0.042896,raw\capture_02_sdk000001.png,result\capture_02_sdk000001.png,binary\capture_02_sdk000001.png
3,2026-09-13 11:12:13.015,2,1,1050.4364,976.4007,1002,928,98,93,6710.50,0.849973,205.00,0.334740,raw\capture_03_sdk000002.png,result\capture_03_sdk000002.png,binary\capture_03_sdk000002.png
4,2026-09-13 11:13:54.033,3,1,1652.3926,1256.8029,1621,1153,63,207,12051.00,0.540054,124.00,0.146923,raw\capture_04_sdk000003.png,result\capture_04_sdk000003.png,binary\capture_04_sdk000003.png
5,2026-09-13 11:16:11.661,4,1,1050.9896,923.5429,1006,879,92,86,5737.00,0.846071,128.00,0.026366,raw\capture_05_sdk000004.png,result\capture_05_sdk000004.png,binary\capture_05_sdk000004.png
6,2026-09-13 11:18:46.071,5,1,1414.5612,1287.9274,1369,1244,92,90,6471.00,0.902019,124.00,0.094998,raw\capture_06_sdk000005.png,result\capture_06_sdk000005.png,binary\capture_06_sdk000005.png
7,2026-09-13 11:23:51.997,6,1,1651.7163,1301.7151,1620,1241,64,119,7183.50,0.698252,123.00,0.074687,raw\capture_07_sdk000006.png,result\capture_07_sdk000006.png,binary\capture_07_sdk000006.png
8,2026-09-13 11:30:13.937,7,1,1051.1108,942.7226,1006,898,92,87,5747.00,0.842755,131.00,0.016782,raw\capture_08_sdk000007.png,result\capture_08_sdk000007.png,binary\capture_08_sdk000007.png
9,2026-09-13 11:34:25.878,8,1,1652.5333,1263.2345,1621,1163,63,197,11570.00,0.533123,124.00,0.139966,raw\capture_09_sdk000008.png,result\capture_09_sdk000008.png,binary\capture_09_sdk000008.png
10,2026-09-13 11:36:38.495,9,1,1050.5543,946.5282,1006,902,91,86,5751.00,0.857846,131.00,0.015220,raw\capture_10_sdk000009.png,result\capture_10_sdk000009.png,binary\capture_10_sdk000009.png
